accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
0.728, -0.036, -0.508, -34.546, 15.869, -14.160
0.729, -0.113, -0.508, -1.831, 2.075, 0.366
0.955, -0.182, -0.703, 9.766, -13.428, -5.432
0.927, -0.141, -0.296, -2.869, -53.650, 4.211
1.008, -0.039, -0.079, 6.714, -25.391, 12.390
1.042, 0.031, 0.064, 14.771, -18.066, 4.822
0.965, 0.020, 0.078, 15.991, -1.892, -4.395
0.953, 0.000, -0.032, 14.160, 39.001, -9.094
0.975, -0.106, -0.232, 10.559, 0.427, -5.676
0.923, -0.071, -0.220, 9.338, -10.925, 0.732
0.979, -0.086, -0.131, 3.296, -14.404, 6.165
0.936, -0.031, -0.111, 9.094, -0.916, -0.916
0.954, -0.059, -0.144, 7.751, 7.324, -2.686
0.978, -0.068, -0.173, 6.104, 9.888, -1.404
0.962, -0.074, -0.188, -3.113, 3.662, -2.686
0.961, -0.049, -0.190, -2.869, 2.380, 0.183
0.790, -0.284, 0.153, -39.368, 23.254, -6.409
0.952, 0.065, 0.218, 9.216, 27.161, -6.775
0.905, 0.167, 0.224, -30.457, -6.104, -11.108
0.964, 0.144, 0.244, -29.846, 2.258, -22.034
0.927, 0.144, 0.198, -12.268, 6.287, -3.784
0.993, 0.072, 0.153, -2.625, 19.165, -4.761
0.994, 0.083, 0.028, 3.906, 28.015, -1.770
0.970, 0.071, -0.100, 9.888, 23.193, -1.831
0.957, 0.072, -0.209, 18.066, 16.541, -2.502
0.943, 0.069, -0.247, 3.906, 5.005, -0.732
0.947, 0.078, -0.232, 1.221, 2.014, -0.610
0.940, 0.077, -0.243, 1.404, 0.061, 0.671
0.970, 0.074, -0.215, -5.676, -1.709, -0.305
0.957, 0.088, -0.208, -1.587, -1.038, 0.854
0.955, 0.078, -0.203, -1.404, 0.488, -0.122
0.943, 0.095, -0.219, -1.953, 0.305, 0.244
0.950, 0.085, -0.213, -2.258, -1.648, -1.282
0.953, 0.082, -0.214, -2.380, -1.831, -1.465
0.962, 0.081, -0.202, -3.784, -2.930, -1.160
0.953, 0.056, -0.180, -2.014, -3.235, -2.686
0.965, 0.060, -0.174, -3.357, -2.380, -0.305
0.965, 0.056, -0.165, -4.333, -3.845, -2.014
1.006, 0.049, -0.154, -12.329, -2.075, -1.343
0.956, -0.007, -0.120, -14.709, -14.221, -3.601
0.974, 0.032, -0.017, -21.851, -16.968, -2.258
0.958, 0.136, 0.119, 7.690, -8.240, 11.230
0.948, 0.029, 0.056, 1.221, 20.996, 3.174
0.976, 0.053, -0.116, -2.197, 38.269, 10.803
1.016, 0.164, -0.412, 10.010, 38.025, 15.381
0.913, 0.194, -0.456, -7.324, 16.357, -6.592
0.919, 0.115, -0.438, 9.033, -2.319, -11.292
0.907, 0.045, -0.427, 9.399, -16.174, -9.338
0.848, 0.004, -0.253, 7.080, -43.396, -5.554
0.835, 0.119, -0.097, 4.150, -31.982, 9.155
1.000, 0.151, 0.099, 51.514, -6.592, 3.845
0.923, 0.257, 0.114, 33.386, 1.282, 12.817
0.961, 0.146, 0.166, 2.563, -0.366, -11.475
0.914, 0.106, 0.147, -6.958, 5.920, -13.916
1.018, 0.101, 0.094, -20.569, 2.075, -7.019
0.969, -0.003, -0.070, -38.574, 8.484, -14.099
1.010, -0.085, -0.072, -22.400, 6.226, -3.662
1.029, -0.027, -0.146, 92.407, 5.554, 18.250
0.977, 0.135, -0.105, 121.155, 5.920, 7.019
0.928, 0.110, 0.074, 77.759, 7.202, 8.545
0.973, 0.239, 0.048, 53.833, 6.897, 9.033
0.969, 0.186, 0.001, 33.936, 9.705, -10.132
1.076, 0.133, -0.028, 21.057, 2.441, -6.348
1.083, 0.006, 0.029, 20.935, -4.150, -20.325
0.967, -0.037, 0.062, 2.563, 0.671, -4.272
0.959, -0.040, 0.048, 3.540, -0.916, 8.118
0.962, 0.004, 0.043, 24.292, -11.353, 7.629
0.982, 0.166, 0.148, -2.563, -11.292, -1.526
0.867, 0.195, 0.089, 39.429, -15.015, -22.400
0.956, 0.283, 0.207, -39.612, 1.709, 7.202
0.907, 0.156, 0.143, -7.935, 1.709, -2.319
0.961, 0.137, 0.148, 1.221, 5.859, -5.615
0.926, 0.140, 0.121, -12.756, 0.244, -0.244
0.953, 0.133, 0.122, 2.441, -2.258, -2.625
0.954, 0.130, 0.119, 7.202, 4.456, 0.488
0.950, 0.124, 0.111, 4.517, 1.892, -0.854
0.955, 0.116, 0.105, 2.136, 0.366, 1.221
0.955, 0.140, 0.112, 1.404, 1.038, 1.648
0.957, 0.137, 0.115, 2.625, 0.793, 0.061
0.952, 0.140, 0.130, 0.366, 0.427, -0.793
0.956, 0.160, 0.118, -0.061, 0.366, 0.183
0.956, 0.188, 0.115, -7.263, -3.784, -4.517
0.999, 0.114, 0.112, -10.132, 12.512, -20.264
0.966, 0.087, 0.085, -15.503, 5.859, 2.563
1.048, 0.045, 0.077, 12.268, -1.892, -4.517
0.887, 0.070, 0.113, -8.179, 3.601, -12.451
0.988, 0.049, 0.056, -13.977, 0.549, 5.737
0.948, 0.104, 0.095, -6.897, -9.155, -3.235
0.967, 0.047, 0.093, -0.793, 2.563, 5.066
0.972, 0.094, 0.104, -2.075, -3.540, -1.465
0.978, 0.066, 0.093, 0.854, 9.644, 1.587
0.970, 0.087, 0.071, -0.549, -4.944, -2.625
0.903, 0.052, 0.069, -11.292, 1.953, -1.404
0.932, -0.000, 0.067, 17.151, -2.869, -2.625
0.968, 0.046, 0.048, -37.659, -2.686, -5.249
0.929, 0.070, 0.126, 9.949, -17.090, 3.174
0.947, 0.057, 0.146, 15.442, 14.404, -1.221
0.935, 0.086, 0.155, 7.751, -5.249, 2.625
0.911, 0.153, 0.208, -13.672, -17.761, 36.438
0.938, 0.084, 0.180, -22.949, -29.541, -6.287
0.913, 0.126, 0.240, -3.662, 2.869, -13.733
0.901, 0.040, 0.188, -2.747, 20.630, -7.507
0.969, 0.063, 0.152, -7.324, -3.662, 5.676
0.930, 0.063, 0.194, 14.893, 3.540, 8.972
0.904, 0.104, 0.162, 4.883, 9.888, -0.305
0.969, 0.072, 0.137, 4.211, 5.981, 1.648
0.960, 0.084, 0.116, -4.822, -0.305, -4.150
0.963, 0.117, 0.118, 5.066, -1.038, -0.610
0.960, 0.122, 0.139, 0.916, -0.244, -1.404
0.943, 0.123, 0.116, -1.953, 5.432, 0.488
0.958, 0.075, 0.106, 2.014, 4.578, -3.113
0.974, 0.070, 0.096, 4.883, 4.028, 2.808
0.965, 0.059, 0.082, 1.465, 4.578, 1.831
0.979, 0.041, 0.076, -5.737, -0.427, -2.686
0.943, 0.053, 0.060, -19.165, 0.305, -3.906
0.970, 0.004, 0.096, -37.903, 0.793, -7.629
0.966, -0.004, 0.110, -15.198, -4.089, -0.122
0.976, 0.060, 0.079, -2.991, -6.531, 1.831
0.944, 0.049, 0.060, -0.305, 2.319, -4.150
0.921, 0.143, 0.053, 12.146, 1.770, 7.568
0.964, 0.161, 0.065, 19.043, -2.747, 11.414
0.912, 0.215, 0.038, 10.559, -0.244, 2.441
1.033, 0.173, 0.074, -13.977, -0.671, -9.521
